Year,Quarter,GDP_Market_Price
2016,Q1,25568.4571
2016,Q2,26833.3709
2017,Q3,28094.4782
2017,Q4,28192.2602
2017,Q1,28917.6038
2017,Q2,28731.1758
2018,Q3,31054.5408
2018,Q4,31939.5593
2018,Q1,31722.5780
2018,Q2,32499.7650
2019,Q3,34037.9698
2019,Q4,34255.6488
2019,Q1,35260.1253
2019,Q2,36784.8604
2020,Q3,35563.7813
2020,Q4,32244.1291
2020,Q1,35914.7773
2020,Q2,37315.1154
2021,Q3,37068.0397
2021,Q4,37834.5908
2021,Q1,37992.9657
2021,Q2,40265.1106
2022,Q3,41514.1356
2022,Q4,42861.3076
2022,Q1,44515.5549
2022,Q2,44970.5549
2023,Q3,44550.3549
2023,Q4,48470.5350
2023,Q1,49863.0470
2023,Q2,50336.2088
2024,Q3,50318.8907
2024,Q4,52660.4000
2024,Q1,55237.0269
2024,Q2,55889.9085
2025,Q3,57525.4466
2025,Q4,58763.1562
2025,Q1,59066.3398
2025,Q2,62875.3010
